sci_name,animal,toxic
Dieffenbachia amoena,dog,TRUE
Dieffenbachia amoena,horse,TRUE
Acalypha hispida,cat,FALSE
Acalypha hispida,dog,FALSE
Acalypha hispida,horse,TRUE
Prunus species,cat,TRUE
Prunus species,dog,TRUE
Prunus species,horse,TRUE
Castanea dentata,cat,FALSE
Castanea dentata,dog,FALSE
Castanea dentata,horse,FALSE
Iresine herbstii,cat,FALSE
Iresine herbstii,dog,FALSE
Iresine herbstii,horse,TRUE
Echeveria elegans,cat,FALSE
Echeveria elegans,dog,FALSE
Echeveria elegans,horse,FALSE
Smilax glabra,cat,FALSE
Smilax glabra,dog,FALSE
Smilax glabra,horse,FALSE
Callistephus chinensis,cat,FALSE
Callistephus chinensis,dog,FALSE
Callistephus chinensis,horse,TRUE
Smilax glabra,cat,FALSE
Smilax glabra,dog,FALSE
Smilax glabra,horse,FALSE
Melia azedarach,cat,TRUE
Melia azedarach,dog,TRUE
Melia azedarach,horse,TRUE
Aglaonema modestrum,cat,TRUE
Aglaonema modestrum,dog,TRUE
Aglaonema modestrum,horse,TRUE
Crassula arborescens,cat,TRUE
Crassula arborescens,dog,TRUE
Crassula arborescens,horse,TRUE
Ceratostigma willmottianum,cat,FALSE
Ceratostigma willmottianum,dog,FALSE
Ceratostigma willmottianum,horse,FALSE
Anthericum comosum,cat,FALSE
Anthericum comosum,dog,FALSE
Anthericum comosum,horse,TRUE
Chlorophytum bichetti,cat,FALSE
Chlorophytum bichetti,dog,FALSE
Chlorophytum bichetti,horse,TRUE
Episcia dianthiflora,cat,FALSE
Episcia dianthiflora,dog,FALSE
Episcia dianthiflora,horse,TRUE
Schlumbergera bridgesii,cat,FALSE
Schlumbergera bridgesii,dog,FALSE
Schlumbergera bridgesii,horse,TRUE
Polystichum acrostichoides,cat,FALSE
Polystichum acrostichoides,dog,FALSE
Polystichum acrostichoides,horse,TRUE
Cattleya trianaei,cat,FALSE
Cattleya trianaei,dog,FALSE
Cattleya trianaei,horse,TRUE
Veitchia merrillii,cat,FALSE
Veitchia merrillii,dog,FALSE
Veitchia merrillii,horse,TRUE
Helleborus niger,cat,TRUE
Helleborus niger,dog,TRUE
Helleborus niger,horse,TRUE
Chrysanthemum spp.,cat,TRUE
Chrysanthemum spp.,dog,TRUE
Chrysanthemum spp.,horse,TRUE
Cinnamonium,cat,FALSE
Cinnamonium,dog,FALSE
Cinnamonium,horse,FALSE
Potentilla spp.,cat,FALSE
Potentilla spp.,dog,FALSE
Potentilla spp.,horse,FALSE
Bulbophyllum appendiculatum,cat,FALSE
Bulbophyllum appendiculatum,dog,FALSE
Bulbophyllum appendiculatum,horse,TRUE
Pilea pumila,cat,FALSE
Pilea pumila,dog,FALSE
Pilea pumila,horse,FALSE
Clematis sp.,cat,TRUE
Clematis sp.,dog,TRUE
Clematis sp.,horse,TRUE
Pellaea rotundifolia,cat,FALSE
Pellaea rotundifolia,dog,FALSE
Pellaea rotundifolia,horse,FALSE
Celastrus scandens,cat,TRUE
Celastrus scandens,dog,TRUE
Celastrus scandens,horse,TRUE
Gloriosa superba,cat,TRUE
Gloriosa superba,dog,TRUE
Gloriosa superba,horse,TRUE
Solanum dulcamara,cat,TRUE
Solanum dulcamara,dog,TRUE
Solanum dulcamara,horse,TRUE
Clivia sp.,cat,TRUE
Clivia sp.,dog,TRUE
Clivia sp.,horse,TRUE
Selaginella kraussiana,cat,FALSE
Selaginella kraussiana,dog,FALSE
Selaginella kraussiana,horse,FALSE
Amaranthus hypochondriacus,cat,FALSE
Amaranthus hypochondriacus,dog,FALSE
Amaranthus hypochondriacus,horse,FALSE
Cattleya forbesii,cat,FALSE
Cattleya forbesii,dog,FALSE
Cattleya forbesii,horse,TRUE
Polyscias guilfoylei,cat,TRUE
Polyscias guilfoylei,dog,TRUE
Polyscias guilfoylei,horse,TRUE
Coleus ampoinicus,cat,TRUE
Coleus ampoinicus,dog,TRUE
Coleus ampoinicus,horse,TRUE
Chamaedorea elegans,cat,FALSE
Chamaedorea elegans,dog,FALSE
Chamaedorea elegans,horse,TRUE
Camellia japonica; Thea japonica,cat,FALSE
Camellia japonica; Thea japonica,dog,FALSE
Camellia japonica; Thea japonica,horse,FALSE
Smilax rotundifolia,cat,FALSE
Smilax rotundifolia,dog,FALSE
Smilax rotundifolia,horse,FALSE
Canna generalis,cat,FALSE
Canna generalis,dog,FALSE
Canna generalis,horse,TRUE
Smilax rotundifolia,cat,FALSE
Smilax rotundifolia,dog,FALSE
Smilax rotundifolia,horse,FALSE
Ligustrum vulgare,cat,TRUE
Ligustrum vulgare,dog,TRUE
Ligustrum vulgare,horse,TRUE
Antirrhinum majus,cat,FALSE
Antirrhinum majus,dog,FALSE
Antirrhinum majus,horse,FALSE
Platycerium bifurcatum,cat,FALSE
Platycerium bifurcatum,dog,FALSE
Platycerium bifurcatum,horse,FALSE
Trachelospermum jasminoides,cat,FALSE
Trachelospermum jasminoides,dog,FALSE
Trachelospermum jasminoides,horse,FALSE
Pilea pumila,cat,FALSE
Pilea pumila,dog,FALSE
Pilea pumila,horse,FALSE
Zamia pumila,cat,TRUE
Zamia pumila,dog,TRUE
Zamia pumila,horse,TRUE
Echeveria multicaulis,cat,FALSE
Echeveria multicaulis,dog,FALSE
Echeveria multicaulis,horse,TRUE
Acalypha godseffiana,cat,FALSE
Acalypha godseffiana,dog,FALSE
Acalypha godseffiana,horse,TRUE
Heuchera sanguinea,cat,FALSE
Heuchera sanguinea,dog,FALSE
Heuchera sanguinea,horse,FALSE
Philodendron oxycardium,cat,TRUE
Philodendron oxycardium,dog,TRUE
Philodendron oxycardium,horse,TRUE
Coreopsis,cat,FALSE
Coreopsis,dog,FALSE
Coreopsis,horse,FALSE
Dracaena fragrans,cat,TRUE
Dracaena fragrans,dog,TRUE
Dracaena fragrans,horse,TRUE
Centaurea cyanus,cat,FALSE
Centaurea cyanus,dog,FALSE
Centaurea cyanus,horse,TRUE
Dracaena fragrans,cat,TRUE
Dracaena fragrans,dog,TRUE
Dracaena fragrans,horse,TRUE
Heracleum maximum,cat,TRUE
Heracleum maximum,dog,TRUE
Heracleum maximum,horse,TRUE
Cicuta species,cat,TRUE
Cicuta species,dog,TRUE
Cicuta species,horse,TRUE
Lagerstroemia indica,cat,FALSE
Lagerstroemia indica,dog,FALSE
Lagerstroemia indica,horse,FALSE
Pilea nummulariifolia,cat,FALSE
Pilea nummulariifolia,dog,FALSE
Pilea nummulariifolia,horse,FALSE
Asarina erubescens,cat,FALSE
Asarina erubescens,dog,FALSE
Asarina erubescens,horse,FALSE
Mahonia aquifolium,cat,FALSE
Mahonia aquifolium,dog,FALSE
Mahonia aquifolium,horse,FALSE
Pilea nummulariifolia,cat,FALSE
Pilea nummulariifolia,dog,FALSE
Pilea nummulariifolia,horse,FALSE
Rubus pedatus,cat,FALSE
Rubus pedatus,dog,FALSE
Rubus pedatus,horse,FALSE
Sanvitalia species,cat,FALSE
Sanvitalia species,dog,FALSE
Sanvitalia species,horse,FALSE
Lagerstroemia indica,cat,FALSE
Lagerstroemia indica,dog,FALSE
Lagerstroemia indica,horse,FALSE
Callistemon species,cat,FALSE
Callistemon species,dog,FALSE
Callistemon species,horse,FALSE
Neoregalia spp.,cat,FALSE
Neoregalia spp.,dog,FALSE
Neoregalia spp.,horse,TRUE
Nephrolepis biserrata,cat,FALSE
Nephrolepis biserrata,dog,FALSE
Nephrolepis biserrata,horse,FALSE
Crossandra species,cat,FALSE
